crimes,temp,type
1170,27,"DECEPTIVE PRACTICE"
6,27,GAMBLING
36,27,HOMICIDE
87,27,"INTERFERENCE WITH PUBLIC OFFICER"
21,27,INTIMIDATION
21,27,KIDNAPPING
20,27,"LIQUOR LAW VIOLATION"
1019,27,"MOTOR VEHICLE THEFT"
2206,27,NARCOTICS
2,27,NON-CRIMINAL
2,27,OBSCENITY
141,27,"OFFENSE INVOLVING CHILDREN"
1430,27,"OTHER OFFENSE"
113,27,PROSTITUTION
157,27,"PUBLIC PEACE VIOLATION"
822,27,ROBBERY
66,27,"SEX OFFENSE"
17,27,STALKING
4868,27,THEFT
266,27,"WEAPONS VIOLATION"
53,28,ARSON
2151,28,ASSAULT
6540,28,BATTERY
2102,28,BURGLARY
2,28,"CONCEALED CARRY LICENSE VIOLATION"
200,28,"CRIM SEXUAL ASSAULT"
3809,28,"CRIMINAL DAMAGE"
956,28,"CRIMINAL TRESPASS"
2006,28,"DECEPTIVE PRACTICE"
18,28,GAMBLING
58,28,HOMICIDE
105,28,"INTERFERENCE WITH PUBLIC OFFICER"
13,28,INTIMIDATION
28,28,KIDNAPPING
62,28,"LIQUOR LAW VIOLATION"
1785,28,"MOTOR VEHICLE THEFT"
3719,28,NARCOTICS
1,28,"NON - CRIMINAL"
3,28,NON-CRIMINAL
11,28,OBSCENITY
433,28,"OFFENSE INVOLVING CHILDREN"
2328,28,"OTHER OFFENSE"
202,28,PROSTITUTION
290,28,"PUBLIC PEACE VIOLATION"
1504,28,ROBBERY
158,28,"SEX OFFENSE"
21,28,STALKING
8023,28,THEFT
448,28,"WEAPONS VIOLATION"
60,29,ARSON
2429,29,ASSAULT
6899,29,BATTERY
2408,29,BURGLARY
3,29,"CONCEALED CARRY LICENSE VIOLATION"
167,29,"CRIM SEXUAL ASSAULT"
4087,29,"CRIMINAL DAMAGE"
1063,29,"CRIMINAL TRESPASS"
2050,29,"DECEPTIVE PRACTICE"
17,29,GAMBLING
66,29,HOMICIDE
141,29,"INTERFERENCE WITH PUBLIC OFFICER"
19,29,INTIMIDATION
32,29,KIDNAPPING
47,29,"LIQUOR LAW VIOLATION"
2034,29,"MOTOR VEHICLE THEFT"
4096,29,NARCOTICS
11,29,OBSCENITY
327,29,"OFFENSE INVOLVING CHILDREN"
1,29,"OTHER NARCOTIC VIOLATION"
2675,29,"OTHER OFFENSE"
194,29,PROSTITUTION
1,29,"PUBLIC INDECENCY"
254,29,"PUBLIC PEACE VIOLATION"
1597,29,ROBBERY
120,29,"SEX OFFENSE"
22,29,STALKING
8812,29,THEFT
556,29,"WEAPONS VIOLATION"
53,30,ARSON
2324,30,ASSAULT
6619,30,BATTERY
2311,30,BURGLARY
5,30,"CONCEALED CARRY LICENSE VIOLATION"
181,30,"CRIM SEXUAL ASSAULT"
3870,30,"CRIMINAL DAMAGE"
985,30,"CRIMINAL TRESPASS"
2132,30,"DECEPTIVE PRACTICE"
11,30,GAMBLING
60,30,HOMICIDE
138,30,"INTERFERENCE WITH PUBLIC OFFICER"
22,30,INTIMIDATION
38,30,KIDNAPPING
46,30,"LIQUOR LAW VIOLATION"
1733,30,"MOTOR VEHICLE THEFT"
3642,30,NARCOTICS
1,30,"NON-CRIMINAL (SUBJECT SPECIFIED)"
8,30,OBSCENITY
367,30,"OFFENSE INVOLVING CHILDREN"
2447,30,"OTHER OFFENSE"
197,30,PROSTITUTION
1,30,"PUBLIC INDECENCY"
304,30,"PUBLIC PEACE VIOLATION"
1478,30,ROBBERY
133,30,"SEX OFFENSE"
30,30,STALKING
8336,30,THEFT
522,30,"WEAPONS VIOLATION"
53,31,ARSON
2324,31,ASSAULT
6568,31,BATTERY
2184,31,BURGLARY
5,31,"CONCEALED CARRY LICENSE VIOLATION"
154,31,"CRIM SEXUAL ASSAULT"
3953,31,"CRIMINAL DAMAGE"
1059,31,"CRIMINAL TRESPASS"
2048,31,"DECEPTIVE PRACTICE"
10,31,GAMBLING
63,31,HOMICIDE
1,31,"HUMAN TRAFFICKING"
127,31,"INTERFERENCE WITH PUBLIC OFFICER"
26,31,INTIMIDATION
28,31,KIDNAPPING
51,31,"LIQUOR LAW VIOLATION"
1756,31,"MOTOR VEHICLE THEFT"
3949,31,NARCOTICS
2,31,NON-CRIMINAL
1,31,"NON-CRIMINAL (SUBJECT SPECIFIED)"
3,31,OBSCENITY
267,31,"OFFENSE INVOLVING CHILDREN"
2422,31,"OTHER OFFENSE"
182,31,PROSTITUTION
3,31,"PUBLIC INDECENCY"
289,31,"PUBLIC PEACE VIOLATION"
1460,31,ROBBERY
106,31,"SEX OFFENSE"
25,31,STALKING
8279,31,THEFT
473,31,"WEAPONS VIOLATION"
40,32,ARSON
1697,32,ASSAULT
4696,32,BATTERY
1476,32,BURGLARY
3,32,"CONCEALED CARRY LICENSE VIOLATION"
131,32,"CRIM SEXUAL ASSAULT"
2786,32,"CRIMINAL DAMAGE"
764,32,"CRIMINAL TRESPASS"
1590,32,"DECEPTIVE PRACTICE"
10,32,GAMBLING
54,32,HOMICIDE
1,32,"HUMAN TRAFFICKING"
106,32,"INTERFERENCE WITH PUBLIC OFFICER"
12,32,INTIMIDATION
19,32,KIDNAPPING
48,32,"LIQUOR LAW VIOLATION"
1235,32,"MOTOR VEHICLE THEFT"
2598,32,NARCOTICS
1,32,"NON - CRIMINAL"
3,32,NON-CRIMINAL
3,32,OBSCENITY
231,32,"OFFENSE INVOLVING CHILDREN"
1894,32,"OTHER OFFENSE"
165,32,PROSTITUTION
197,32,"PUBLIC PEACE VIOLATION"
1076,32,ROBBERY
91,32,"SEX OFFENSE"
15,32,STALKING
6046,32,THEFT
374,32,"WEAPONS VIOLATION"
47,33,ARSON
2324,33,ASSAULT
6250,33,BATTERY
2374,33,BURGLARY
2,33,"CONCEALED CARRY LICENSE VIOLATION"
169,33,"CRIM SEXUAL ASSAULT"
3949,33,"CRIMINAL DAMAGE"
1016,33,"CRIMINAL TRESPASS"
1905,33,"DECEPTIVE PRACTICE"
9,33,GAMBLING
55,33,HOMICIDE
131,33,"INTERFERENCE WITH PUBLIC OFFICER"
24,33,INTIMIDATION
30,33,KIDNAPPING
55,33,"LIQUOR LAW VIOLATION"
1830,33,"MOTOR VEHICLE THEFT"
3884,33,NARCOTICS
1,33,NON-CRIMINAL
2,33,OBSCENITY
305,33,"OFFENSE INVOLVING CHILDREN"
2383,33,"OTHER OFFENSE"
271,33,PROSTITUTION
1,33,"PUBLIC INDECENCY"
301,33,"PUBLIC PEACE VIOLATION"
1492,33,ROBBERY
102,33,"SEX OFFENSE"
29,33,STALKING
8322,33,THEFT
418,33,"WEAPONS VIOLATION"
58,34,ARSON
2761,34,ASSAULT
7667,34,BATTERY
2323,34,BURGLARY
10,34,"CONCEALED CARRY LICENSE VIOLATION"
201,34,"CRIM SEXUAL ASSAULT"
4541,34,"CRIMINAL DAMAGE"
1156,34,"CRIMINAL TRESPASS"
2301,34,"DECEPTIVE PRACTICE"
13,34,GAMBLING
73,34,HOMICIDE
143,34,"INTERFERENCE WITH PUBLIC OFFICER"
27,34,INTIMIDATION
26,34,KIDNAPPING
53,34,"LIQUOR LAW VIOLATION"
1970,34,"MOTOR VEHICLE THEFT"
3871,34,NARCOTICS
3,34,NON-CRIMINAL
6,34,OBSCENITY
365,34,"OFFENSE INVOLVING CHILDREN"
1,34,"OTHER NARCOTIC VIOLATION"
2692,34,"OTHER OFFENSE"
183,34,PROSTITUTION
2,34,"PUBLIC INDECENCY"
361,34,"PUBLIC PEACE VIOLATION"
1637,34,ROBBERY
126,34,"SEX OFFENSE"
23,34,STALKING
9520,34,THEFT
598,34,"WEAPONS VIOLATION"
61,35,ARSON
2627,35,ASSAULT
7403,35,BATTERY
2407,35,BURGLARY
7,35,"CONCEALED CARRY LICENSE VIOLATION"
184,35,"CRIM SEXUAL ASSAULT"
4395,35,"CRIMINAL DAMAGE"
1038,35,"CRIMINAL TRESPASS"
2194,35,"DECEPTIVE PRACTICE"
12,35,GAMBLING
49,35,HOMICIDE
3,35,"HUMAN TRAFFICKING"
157,35,"INTERFERENCE WITH PUBLIC OFFICER"
25,35,INTIMIDATION
26,35,KIDNAPPING
44,35,"LIQUOR LAW VIOLATION"
1774,35,"MOTOR VEHICLE THEFT"
3889,35,NARCOTICS
1,35,"NON - CRIMINAL"
3,35,NON-CRIMINAL
9,35,OBSCENITY
313,35,"OFFENSE INVOLVING CHILDREN"
2620,35,"OTHER OFFENSE"
176,35,PROSTITUTION
1,35,"PUBLIC INDECENCY"
349,35,"PUBLIC PEACE VIOLATION"
1571,35,ROBBERY
117,35,"SEX OFFENSE"
29,35,STALKING
9212,35,THEFT
550,35,"WEAPONS VIOLATION"
64,36,ARSON
2743,36,ASSAULT
7794,36,BATTERY
2639,36,BURGLARY
4,36,"CONCEALED CARRY LICENSE VIOLATION"
229,36,"CRIM SEXUAL ASSAULT"
4779,36,"CRIMINAL DAMAGE"
1198,36,"CRIMINAL TRESPASS"
2366,36,"DECEPTIVE PRACTICE"
23,36,GAMBLING
81,36,HOMICIDE
1,36,"HUMAN TRAFFICKING"
197,36,"INTERFERENCE WITH PUBLIC OFFICER"
15,36,INTIMIDATION
36,36,KIDNAPPING
48,36,"LIQUOR LAW VIOLATION"
2167,36,"MOTOR VEHICLE THEFT"
4104,36,NARCOTICS
4,36,NON-CRIMINAL
6,36,OBSCENITY
355,36,"OFFENSE INVOLVING CHILDREN"
1,36,"OTHER NARCOTIC VIOLATION"
2797,36,"OTHER OFFENSE"
276,36,PROSTITUTION
1,36,"PUBLIC INDECENCY"
324,36,"PUBLIC PEACE VIOLATION"
1807,36,ROBBERY
148,36,"SEX OFFENSE"
21,36,STALKING
10227,36,THEFT
601,36,"WEAPONS VIOLATION"
49,37,ARSON
2747,37,ASSAULT
7550,37,BATTERY
2593,37,BURGLARY
10,37,"CONCEALED CARRY LICENSE VIOLATION"
240,37,"CRIM SEXUAL ASSAULT"
4742,37,"CRIMINAL DAMAGE"
1166,37,"CRIMINAL TRESPASS"
2211,37,"DECEPTIVE PRACTICE"
15,37,GAMBLING
64,37,HOMICIDE
176,37,"INTERFERENCE WITH PUBLIC OFFICER"
23,37,INTIMIDATION
41,37,KIDNAPPING
54,37,"LIQUOR LAW VIOLATION"
2016,37,"MOTOR VEHICLE THEFT"
4120,37,NARCOTICS
2,37,NON-CRIMINAL
6,37,OBSCENITY
410,37,"OFFENSE INVOLVING CHILDREN"
1,37,"OTHER NARCOTIC VIOLATION"
2937,37,"OTHER OFFENSE"
237,37,PROSTITUTION
1,37,"PUBLIC INDECENCY"
348,37,"PUBLIC PEACE VIOLATION"
1705,37,ROBBERY
172,37,"SEX OFFENSE"
32,37,STALKING
9934,37,THEFT
578,37,"WEAPONS VIOLATION"
57,38,ARSON
2505,38,ASSAULT
7222,38,BATTERY
2637,38,BURGLARY
4,38,"CONCEALED CARRY LICENSE VIOLATION"
214,38,"CRIM SEXUAL ASSAULT"
4633,38,"CRIMINAL DAMAGE"
1050,38,"CRIMINAL TRESPASS"
2233,38,"DECEPTIVE PRACTICE"
19,38,GAMBLING
67,38,HOMICIDE
2,38,"HUMAN TRAFFICKING"
148,38,"INTERFERENCE WITH PUBLIC OFFICER"
22,38,INTIMIDATION
25,38,KIDNAPPING
37,38,"LIQUOR LAW VIOLATION"
1977,38,"MOTOR VEHICLE THEFT"
3626,38,NARCOTICS
2,38,NON-CRIMINAL
2,38,"NON-CRIMINAL (SUBJECT SPECIFIED)"
4,38,OBSCENITY
329,38,"OFFENSE INVOLVING CHILDREN"
1,38,"OTHER NARCOTIC VIOLATION"
2671,38,"OTHER OFFENSE"
208,38,PROSTITUTION
1,38,"PUBLIC INDECENCY"
304,38,"PUBLIC PEACE VIOLATION"
1880,38,ROBBERY
139,38,"SEX OFFENSE"
20,38,STALKING
9424,38,THEFT
484,38,"WEAPONS VIOLATION"
51,39,ARSON
1977,39,ASSAULT
5377,39,BATTERY
1675,39,BURGLARY
4,39,"CONCEALED CARRY LICENSE VIOLATION"
113,39,"CRIM SEXUAL ASSAULT"
3315,39,"CRIMINAL DAMAGE"
762,39,"CRIMINAL TRESPASS"
1574,39,"DECEPTIVE PRACTICE"
24,39,GAMBLING
41,39,HOMICIDE
1,39,"HUMAN TRAFFICKING"
122,39,"INTERFERENCE WITH PUBLIC OFFICER"
15,39,INTIMIDATION
17,39,KIDNAPPING
34,39,"LIQUOR LAW VIOLATION"
1317,39,"MOTOR VEHICLE THEFT"
2884,39,NARCOTICS
3,39,NON-CRIMINAL
1,39,"NON-CRIMINAL (SUBJECT SPECIFIED)"
8,39,OBSCENITY
225,39,"OFFENSE INVOLVING CHILDREN"
1,39,"OTHER NARCOTIC VIOLATION"
1935,39,"OTHER OFFENSE"
131,39,PROSTITUTION
266,39,"PUBLIC PEACE VIOLATION"
1146,39,ROBBERY
84,39,"SEX OFFENSE"
13,39,STALKING
6632,39,THEFT
385,39,"WEAPONS VIOLATION"
42,40,ARSON
1903,40,ASSAULT
5441,40,BATTERY
1755,40,BURGLARY
8,40,"CONCEALED CARRY LICENSE VIOLATION"
144,40,"CRIM SEXUAL ASSAULT"
3529,40,"CRIMINAL DAMAGE"
831,40,"CRIMINAL TRESPASS"
1739,40,"DECEPTIVE PRACTICE"
14,40,GAMBLING
54,40,HOMICIDE
133,40,"INTERFERENCE WITH PUBLIC OFFICER"
16,40,INTIMIDATION
31,40,KIDNAPPING
50,40,"LIQUOR LAW VIOLATION"
1417,40,"MOTOR VEHICLE THEFT"
2864,40,NARCOTICS
6,40,OBSCENITY
238,40,"OFFENSE INVOLVING CHILDREN"
2,40,"OTHER NARCOTIC VIOLATION"
1962,40,"OTHER OFFENSE"
168,40,PROSTITUTION
1,40,"PUBLIC INDECENCY"
235,40,"PUBLIC PEACE VIOLATION"
1259,40,ROBBERY
89,40,"SEX OFFENSE"
16,40,STALKING
7084,40,THEFT
420,40,"WEAPONS VIOLATION"
67,41,ARSON
2624,41,ASSAULT
7360,41,BATTERY
2433,41,BURGLARY
5,41,"CONCEALED CARRY LICENSE VIOLATION"
204,41,"CRIM SEXUAL ASSAULT"
4831,41,"CRIMINAL DAMAGE"
1081,41,"CRIMINAL TRESPASS"
2246,41,"DECEPTIVE PRACTICE"
33,41,GAMBLING
67,41,HOMICIDE
1,41,"HUMAN TRAFFICKING"
173,41,"INTERFERENCE WITH PUBLIC OFFICER"
17,41,INTIMIDATION
29,41,KIDNAPPING
57,41,"LIQUOR LAW VIOLATION"
1925,41,"MOTOR VEHICLE THEFT"
3520,41,NARCOTICS
2,41,NON-CRIMINAL
12,41,OBSCENITY
310,41,"OFFENSE INVOLVING CHILDREN"
3,41,"OTHER NARCOTIC VIOLATION"
2516,41,"OTHER OFFENSE"
211,41,PROSTITUTION
4,41,"PUBLIC INDECENCY"
330,41,"PUBLIC PEACE VIOLATION"
1692,41,ROBBERY
111,41,"SEX OFFENSE"
31,41,STALKING
9679,41,THEFT
571,41,"WEAPONS VIOLATION"
63,42,ARSON
2643,42,ASSAULT
7531,42,BATTERY
2421,42,BURGLARY
3,42,"CONCEALED CARRY LICENSE VIOLATION"
185,42,"CRIM SEXUAL ASSAULT"
4555,42,"CRIMINAL DAMAGE"
1079,42,"CRIMINAL TRESPASS"
2155,42,"DECEPTIVE PRACTICE"
35,42,GAMBLING
63,42,HOMICIDE
3,42,"HUMAN TRAFFICKING"
164,42,"INTERFERENCE WITH PUBLIC OFFICER"
20,42,INTIMIDATION
39,42,KIDNAPPING
46,42,"LIQUOR LAW VIOLATION"
1832,42,"MOTOR VEHICLE THEFT"
3752,42,NARCOTICS
6,42,NON-CRIMINAL
4,42,OBSCENITY
303,42,"OFFENSE INVOLVING CHILDREN"
1,42,"OTHER NARCOTIC VIOLATION"
2624,42,"OTHER OFFENSE"
255,42,PROSTITUTION
385,42,"PUBLIC PEACE VIOLATION"
1650,42,ROBBERY
126,42,"SEX OFFENSE"
39,42,STALKING
9431,42,THEFT
600,42,"WEAPONS VIOLATION"
62,43,ARSON
2564,43,ASSAULT
6602,43,BATTERY
2240,43,BURGLARY
4,43,"CONCEALED CARRY LICENSE VIOLATION"
178,43,"CRIM SEXUAL ASSAULT"
4332,43,"CRIMINAL DAMAGE"
997,43,"CRIMINAL TRESPASS"
2004,43,"DECEPTIVE PRACTICE"
37,43,GAMBLING
57,43,HOMICIDE
152,43,"INTERFERENCE WITH PUBLIC OFFICER"
20,43,INTIMIDATION
34,43,KIDNAPPING
56,43,"LIQUOR LAW VIOLATION"
1697,43,"MOTOR VEHICLE THEFT"
3496,43,NARCOTICS
3,43,NON-CRIMINAL
6,43,OBSCENITY
285,43,"OFFENSE INVOLVING CHILDREN"
3,43,"OTHER NARCOTIC VIOLATION"
2512,43,"OTHER OFFENSE"
229,43,PROSTITUTION
2,43,"PUBLIC INDECENCY"
307,43,"PUBLIC PEACE VIOLATION"
1481,43,ROBBERY
124,43,"SEX OFFENSE"
24,43,STALKING
8761,43,THEFT
532,43,"WEAPONS VIOLATION"
94,44,ARSON
3811,44,ASSAULT
11024,44,BATTERY
3769,44,BURGLARY
14,44,"CONCEALED CARRY LICENSE VIOLATION"
302,44,"CRIM SEXUAL ASSAULT"
7046,44,"CRIMINAL DAMAGE"
1588,44,"CRIMINAL TRESPASS"
2928,44,"DECEPTIVE PRACTICE"
73,44,GAMBLING
111,44,HOMICIDE
1,44,"HUMAN TRAFFICKING"
216,44,"INTERFERENCE WITH PUBLIC OFFICER"
26,44,INTIMIDATION
47,44,KIDNAPPING
84,44,"LIQUOR LAW VIOLATION"
2624,44,"MOTOR VEHICLE THEFT"
5666,44,NARCOTICS
1,44,"NON - CRIMINAL"
13,44,OBSCENITY
425,44,"OFFENSE INVOLVING CHILDREN"
2,44,"OTHER NARCOTIC VIOLATION"
3716,44,"OTHER OFFENSE"
332,44,PROSTITUTION
2,44,"PUBLIC INDECENCY"
505,44,"PUBLIC PEACE VIOLATION"
2443,44,ROBBERY
186,44,"SEX OFFENSE"
37,44,STALKING
13675,44,THEFT
800,44,"WEAPONS VIOLATION"
63,45,ARSON
2774,45,ASSAULT
7564,45,BATTERY
2652,45,BURGLARY
4,45,"CONCEALED CARRY LICENSE VIOLATION"
179,45,"CRIM SEXUAL ASSAULT"
4908,45,"CRIMINAL DAMAGE"
1138,45,"CRIMINAL TRESPASS"
2162,45,"DECEPTIVE PRACTICE"
48,45,GAMBLING
57,45,HOMICIDE
163,45,"INTERFERENCE WITH PUBLIC OFFICER"
22,45,INTIMIDATION
28,45,KIDNAPPING
52,45,"LIQUOR LAW VIOLATION"
1916,45,"MOTOR VEHICLE THEFT"
3979,45,NARCOTICS
1,45,NON-CRIMINAL
9,45,OBSCENITY
328,45,"OFFENSE INVOLVING CHILDREN"
1,45,"OTHER NARCOTIC VIOLATION"
2611,45,"OTHER OFFENSE"
233,45,PROSTITUTION
1,45,"PUBLIC INDECENCY"
345,45,"PUBLIC PEACE VIOLATION"
1687,45,ROBBERY
136,45,"SEX OFFENSE"
21,45,STALKING
9534,45,THEFT
555,45,"WEAPONS VIOLATION"
51,46,ARSON
2654,46,ASSAULT
7263,46,BATTERY
2302,46,BURGLARY
7,46,"CONCEALED CARRY LICENSE VIOLATION"
212,46,"CRIM SEXUAL ASSAULT"
4501,46,"CRIMINAL DAMAGE"
1059,46,"CRIMINAL TRESPASS"
2181,46,"DECEPTIVE PRACTICE"
31,46,GAMBLING
79,46,HOMICIDE
173,46,"INTERFERENCE WITH PUBLIC OFFICER"
30,46,INTIMIDATION
31,46,KIDNAPPING
53,46,"LIQUOR LAW VIOLATION"
1784,46,"MOTOR VEHICLE THEFT"
3137,46,NARCOTICS
5,46,NON-CRIMINAL
8,46,OBSCENITY
344,46,"OFFENSE INVOLVING CHILDREN"
2583,46,"OTHER OFFENSE"
174,46,PROSTITUTION
1,46,"PUBLIC INDECENCY"
297,46,"PUBLIC PEACE VIOLATION"
1726,46,ROBBERY
136,46,"SEX OFFENSE"
32,46,STALKING
9401,46,THEFT
570,46,"WEAPONS VIOLATION"
58,47,ARSON
2259,47,ASSAULT
6152,47,BATTERY
2065,47,BURGLARY
12,47,"CONCEALED CARRY LICENSE VIOLATION"
150,47,"CRIM SEXUAL ASSAULT"
3911,47,"CRIMINAL DAMAGE"
933,47,"CRIMINAL TRESPASS"
1877,47,"DECEPTIVE PRACTICE"
33,47,GAMBLING
58,47,HOMICIDE
124,47,"INTERFERENCE WITH PUBLIC OFFICER"
18,47,INTIMIDATION
28,47,KIDNAPPING
39,47,"LIQUOR LAW VIOLATION"
1585,47,"MOTOR VEHICLE THEFT"
3074,47,NARCOTICS
1,47,NON-CRIMINAL
12,47,OBSCENITY
252,47,"OFFENSE INVOLVING CHILDREN"
2,47,"OTHER NARCOTIC VIOLATION"
2158,47,"OTHER OFFENSE"
169,47,PROSTITUTION
2,47,"PUBLIC INDECENCY"
265,47,"PUBLIC PEACE VIOLATION"
1261,47,ROBBERY
109,47,"SEX OFFENSE"
16,47,STALKING
7783,47,THEFT
487,47,"WEAPONS VIOLATION"
62,48,ARSON
2627,48,ASSAULT
7118,48,BATTERY
2378,48,BURGLARY
5,48,"CONCEALED CARRY LICENSE VIOLATION"
177,48,"CRIM SEXUAL ASSAULT"
4300,48,"CRIMINAL DAMAGE"
1002,48,"CRIMINAL TRESPASS"
1937,48,"DECEPTIVE PRACTICE"
56,48,GAMBLING
68,48,HOMICIDE
166,48,"INTERFERENCE WITH PUBLIC OFFICER"
16,48,INTIMIDATION
28,48,KIDNAPPING
56,48,"LIQUOR LAW VIOLATION"
1629,48,"MOTOR VEHICLE THEFT"
3650,48,NARCOTICS
4,48,NON-CRIMINAL
4,48,OBSCENITY
316,48,"OFFENSE INVOLVING CHILDREN"
2370,48,"OTHER OFFENSE"
246,48,PROSTITUTION
338,48,"PUBLIC PEACE VIOLATION"
1551,48,ROBBERY
118,48,"SEX OFFENSE"
19,48,STALKING
8622,48,THEFT
552,48,"WEAPONS VIOLATION"
72,49,ARSON
2774,49,ASSAULT
8121,49,BATTERY
2737,49,BURGLARY
7,49,"CONCEALED CARRY LICENSE VIOLATION"
180,49,"CRIM SEXUAL ASSAULT"
4853,49,"CRIMINAL DAMAGE"
1090,49,"CRIMINAL TRESPASS"
2223,49,"DECEPTIVE PRACTICE"
70,49,GAMBLING
68,49,HOMICIDE
174,49,"INTERFERENCE WITH PUBLIC OFFICER"
32,49,INTIMIDATION
34,49,KIDNAPPING
80,49,"LIQUOR LAW VIOLATION"
1972,49,"MOTOR VEHICLE THEFT"
3930,49,NARCOTICS
3,49,NON-CRIMINAL
5,49,OBSCENITY
312,49,"OFFENSE INVOLVING CHILDREN"
2842,49,"OTHER OFFENSE"
259,49,PROSTITUTION
1,49,"PUBLIC INDECENCY"
395,49,"PUBLIC PEACE VIOLATION"
1730,49,ROBBERY
123,49,"SEX OFFENSE"
29,49,STALKING
9908,49,THEFT
597,49,"WEAPONS VIOLATION"
90,50,ARSON
2677,50,ASSAULT
7416,50,BATTERY
2559,50,BURGLARY
4,50,"CONCEALED CARRY LICENSE VIOLATION"
189,50,"CRIM SEXUAL ASSAULT"
4555,50,"CRIMINAL DAMAGE"
1056,50,"CRIMINAL TRESPASS"
2016,50,"DECEPTIVE PRACTICE"
56,50,GAMBLING
67,50,HOMICIDE
187,50,"INTERFERENCE WITH PUBLIC OFFICER"
12,50,INTIMIDATION
23,50,KIDNAPPING
46,50,"LIQUOR LAW VIOLATION"
1845,50,"MOTOR VEHICLE THEFT"
3946,50,NARCOTICS
2,50,NON-CRIMINAL
5,50,OBSCENITY
312,50,"OFFENSE INVOLVING CHILDREN"
2600,50,"OTHER OFFENSE"
212,50,PROSTITUTION
3,50,"PUBLIC INDECENCY"
355,50,"PUBLIC PEACE VIOLATION"
1715,50,ROBBERY
138,50,"SEX OFFENSE"
19,50,STALKING
9088,50,THEFT
561,50,"WEAPONS VIOLATION"
55,51,ARSON
2518,51,ASSAULT
6808,51,BATTERY
2337,51,BURGLARY
11,51,"CONCEALED CARRY LICENSE VIOLATION"
181,51,"CRIM SEXUAL ASSAULT"
4132,51,"CRIMINAL DAMAGE"
986,51,"CRIMINAL TRESPASS"
1943,51,"DECEPTIVE PRACTICE"
64,51,GAMBLING
57,51,HOMICIDE
148,51,"INTERFERENCE WITH PUBLIC OFFICER"
16,51,INTIMIDATION
35,51,KIDNAPPING
65,51,"LIQUOR LAW VIOLATION"
1629,51,"MOTOR VEHICLE THEFT"
3440,51,NARCOTICS
3,51,NON-CRIMINAL
8,51,OBSCENITY
289,51,"OFFENSE INVOLVING CHILDREN"
2314,51,"OTHER OFFENSE"
178,51,PROSTITUTION
374,51,"PUBLIC PEACE VIOLATION"
1448,51,ROBBERY
142,51,"SEX OFFENSE"
22,51,STALKING
8430,51,THEFT
547,51,"WEAPONS VIOLATION"
76,52,ARSON
2564,52,ASSAULT
7056,52,BATTERY
2354,52,BURGLARY
1,52,"CONCEALED CARRY LICENSE VIOLATION"
177,52,"CRIM SEXUAL ASSAULT"
4567,52,"CRIMINAL DAMAGE"
1074,52,"CRIMINAL TRESPASS"
2019,52,"DECEPTIVE PRACTICE"
62,52,GAMBLING
76,52,HOMICIDE
136,52,"INTERFERENCE WITH PUBLIC OFFICER"
20,52,INTIMIDATION
34,52,KIDNAPPING
62,52,"LIQUOR LAW VIOLATION"
1672,52,"MOTOR VEHICLE THEFT"
3560,52,NARCOTICS
1,52,"NON - CRIMINAL"
2,52,NON-CRIMINAL
10,52,OBSCENITY
284,52,"OFFENSE INVOLVING CHILDREN"
2430,52,"OTHER OFFENSE"
239,52,PROSTITUTION
1,52,"PUBLIC INDECENCY"
335,52,"PUBLIC PEACE VIOLATION"
1508,52,ROBBERY
97,52,"SEX OFFENSE"
25,52,STALKING
8976,52,THEFT
469,52,"WEAPONS VIOLATION"
41,53,ARSON
2195,53,ASSAULT
5794,53,BATTERY
1963,53,BURGLARY
4,53,"CONCEALED CARRY LICENSE VIOLATION"
143,53,"CRIM SEXUAL ASSAULT"
3528,53,"CRIMINAL DAMAGE"
923,53,"CRIMINAL TRESPASS"
1609,53,"DECEPTIVE PRACTICE"
50,53,GAMBLING
52,53,HOMICIDE
1,53,"HUMAN TRAFFICKING"
131,53,"INTERFERENCE WITH PUBLIC OFFICER"
15,53,INTIMIDATION
25,53,KIDNAPPING
33,53,"LIQUOR LAW VIOLATION"
1346,53,"MOTOR VEHICLE THEFT"
2791,53,NARCOTICS
1,53,"NON - CRIMINAL"
2,53,NON-CRIMINAL
3,53,OBSCENITY
230,53,"OFFENSE INVOLVING CHILDREN"
1972,53,"OTHER OFFENSE"
171,53,PROSTITUTION
2,53,"PUBLIC INDECENCY"
310,53,"PUBLIC PEACE VIOLATION"
1227,53,ROBBERY
108,53,"SEX OFFENSE"
17,53,STALKING
7125,53,THEFT
415,53,"WEAPONS VIOLATION"
58,54,ARSON
2361,54,ASSAULT
6668,54,BATTERY
2221,54,BURGLARY
167,54,"CRIM SEXUAL ASSAULT"
4304,54,"CRIMINAL DAMAGE"
885,54,"CRIMINAL TRESPASS"
1574,54,"DECEPTIVE PRACTICE"
65,54,GAMBLING
54,54,HOMICIDE
131,54,"INTERFERENCE WITH PUBLIC OFFICER"
15,54,INTIMIDATION
30,54,KIDNAPPING
62,54,"LIQUOR LAW VIOLATION"
1640,54,"MOTOR VEHICLE THEFT"
3455,54,NARCOTICS
1,54,"NON - CRIMINAL"
3,54,NON-CRIMINAL
5,54,OBSCENITY
259,54,"OFFENSE INVOLVING CHILDREN"
2195,54,"OTHER OFFENSE"
189,54,PROSTITUTION
356,54,"PUBLIC PEACE VIOLATION"
1444,54,ROBBERY
97,54,"SEX OFFENSE"
19,54,STALKING
7543,54,THEFT
469,54,"WEAPONS VIOLATION"
45,55,ARSON
