crimes,temp,type
8,3,PROSTITUTION
21,3,"PUBLIC PEACE VIOLATION"
106,3,ROBBERY
10,3,"SEX OFFENSE"
2,3,STALKING
739,3,THEFT
47,3,"WEAPONS VIOLATION"
10,4,ARSON
215,4,ASSAULT
628,4,BATTERY
197,4,BURGLARY
11,4,"CRIM SEXUAL ASSAULT"
349,4,"CRIMINAL DAMAGE"
101,4,"CRIMINAL TRESPASS"
237,4,"DECEPTIVE PRACTICE"
4,4,HOMICIDE
9,4,"INTERFERENCE WITH PUBLIC OFFICER"
5,4,INTIMIDATION
10,4,KIDNAPPING
5,4,"LIQUOR LAW VIOLATION"
211,4,"MOTOR VEHICLE THEFT"
354,4,NARCOTICS
34,4,"OFFENSE INVOLVING CHILDREN"
1,4,"OTHER NARCOTIC VIOLATION"
267,4,"OTHER OFFENSE"
14,4,PROSTITUTION
26,4,"PUBLIC PEACE VIOLATION"
146,4,ROBBERY
12,4,"SEX OFFENSE"
2,4,STALKING
813,4,THEFT
21,4,"WEAPONS VIOLATION"
7,5,ARSON
342,5,ASSAULT
892,5,BATTERY
251,5,BURGLARY
1,5,"CONCEALED CARRY LICENSE VIOLATION"
24,5,"CRIM SEXUAL ASSAULT"
538,5,"CRIMINAL DAMAGE"
141,5,"CRIMINAL TRESPASS"
339,5,"DECEPTIVE PRACTICE"
6,5,HOMICIDE
20,5,"INTERFERENCE WITH PUBLIC OFFICER"
3,5,INTIMIDATION
8,5,KIDNAPPING
6,5,"LIQUOR LAW VIOLATION"
321,5,"MOTOR VEHICLE THEFT"
462,5,NARCOTICS
54,5,"OFFENSE INVOLVING CHILDREN"
404,5,"OTHER OFFENSE"
29,5,PROSTITUTION
27,5,"PUBLIC PEACE VIOLATION"
196,5,ROBBERY
14,5,"SEX OFFENSE"
4,5,STALKING
1181,5,THEFT
61,5,"WEAPONS VIOLATION"
6,6,ARSON
365,6,ASSAULT
1067,6,BATTERY
282,6,BURGLARY
18,6,"CRIM SEXUAL ASSAULT"
495,6,"CRIMINAL DAMAGE"
184,6,"CRIMINAL TRESPASS"
371,6,"DECEPTIVE PRACTICE"
1,6,GAMBLING
7,6,HOMICIDE
34,6,"INTERFERENCE WITH PUBLIC OFFICER"
2,6,INTIMIDATION
3,6,KIDNAPPING
8,6,"LIQUOR LAW VIOLATION"
305,6,"MOTOR VEHICLE THEFT"
569,6,NARCOTICS
1,6,"NON - CRIMINAL"
2,6,NON-CRIMINAL
1,6,OBSCENITY
56,6,"OFFENSE INVOLVING CHILDREN"
434,6,"OTHER OFFENSE"
38,6,PROSTITUTION
31,6,"PUBLIC PEACE VIOLATION"
233,6,ROBBERY
8,6,"SEX OFFENSE"
6,6,STALKING
1163,6,THEFT
71,6,"WEAPONS VIOLATION"
7,7,ARSON
256,7,ASSAULT
705,7,BATTERY
247,7,BURGLARY
1,7,"CONCEALED CARRY LICENSE VIOLATION"
28,7,"CRIM SEXUAL ASSAULT"
388,7,"CRIMINAL DAMAGE"
107,7,"CRIMINAL TRESPASS"
289,7,"DECEPTIVE PRACTICE"
1,7,GAMBLING
7,7,HOMICIDE
14,7,"INTERFERENCE WITH PUBLIC OFFICER"
3,7,INTIMIDATION
2,7,KIDNAPPING
6,7,"LIQUOR LAW VIOLATION"
234,7,"MOTOR VEHICLE THEFT"
490,7,NARCOTICS
45,7,"OFFENSE INVOLVING CHILDREN"
331,7,"OTHER OFFENSE"
18,7,PROSTITUTION
29,7,"PUBLIC PEACE VIOLATION"
218,7,ROBBERY
12,7,"SEX OFFENSE"
5,7,STALKING
1094,7,THEFT
54,7,"WEAPONS VIOLATION"
3,8,ARSON
296,8,ASSAULT
831,8,BATTERY
283,8,BURGLARY
1,8,"CONCEALED CARRY LICENSE VIOLATION"
16,8,"CRIM SEXUAL ASSAULT"
421,8,"CRIMINAL DAMAGE"
125,8,"CRIMINAL TRESPASS"
302,8,"DECEPTIVE PRACTICE"
1,8,GAMBLING
11,8,HOMICIDE
