,:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Date,Time (CT)
242,35,21546,9,133,224,19,61,41,False,0411,082XX S HARPER AVE,JC326523,45,$500 AND UNDER,004,False,06,11739318,0820,41.74500765,"{'latitude': '41.74500765', 'longitude': '-87.587041972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK PROPERTY,-87.587041972,THEFT,2019-07-05T16:13:31.000,8,1187910,1850555,2019,2019-07-05,16:13:31
243,23,21572,11,737,140,16,28,28,False,1134,003XX S KEDZIE AVE,JC327755,27,$500 AND UNDER,011,False,06,11740212,0820,41.87575902,"{'latitude': '41.87575902', 'longitude': '-87.705966447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.705966447,THEFT,2019-07-05T16:13:31.000,28,1155108,1897941,2019,2019-07-05,16:13:31
244,27,22528,42,40,46,11,12,20,False,2412,064XX N ALBANY AVE,JC327151,2,TO VEHICLE,024,False,14,11739793,1320,41.998294082,"{'latitude': '41.998294082', 'longitude': '-87.706993713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.706993713,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,50,1154502,1942591,2019,2019-07-05,16:13:31
245,7,22216,52,68,97,25,32,26,False,1522,054XX W ADAMS ST,JC326912,25,AUTOMOBILE,015,False,07,11739630,0910,41.878403702,"{'latitude': '41.878403702', 'longitude': '-87.760433039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.760433039,MOTOR VEHICLE THEFT,2019-07-05T16:13:31.000,29,1140268,1898801,2019,2019-07-05,16:13:31
248,10,21192,1,461,113,24,10,5,False,0222,049XX S DREXEL BLVD,JC326722,39,FROM BUILDING,002,False,06,11739430,0890,41.805470526,"{'latitude': '41.805470526', 'longitude': '-87.603810519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.603810519,THEFT,2019-07-05T16:13:31.000,4,1183147,1872548,2019,2019-07-05,16:13:31
249,36,4446,22,652,73,14,55,37,False,1831,004XX W HURON ST,JC327083,8,FROM BUILDING,018,False,06,11739728,0890,41.894709237,"{'latitude': '41.894709237', 'longitude': '-87.640759183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.640759183,THEFT,2019-07-05T16:13:31.000,42,1172811,1904983,2019,2019-07-05,16:13:31
250,9,21194,48,374,148,22,40,34,False,0131,017XX S MICHIGAN AVE,JC327778,33,UNLAWFUL ENTRY,001,False,05,11740441,0620,41.858643312,"{'latitude': '41.858643312', 'longitude': '-87.6239505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.6239505,BURGLARY,2019-07-05T16:13:31.000,3,1177496,1891878,2019,2019-07-05,16:13:31
251,14,21569,36,132,152,21,57,30,True,1022,013XX S TROY ST,JC326229,29,GAME/DICE,010,False,19,11738977,1661,41.864136649,"{'latitude': '41.864136649', 'longitude': '-87.704376653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.704376653,GAMBLING,2019-07-05T16:13:31.000,24,1155572,1893709,2019,2019-07-05,16:13:31
252,43,21861,30,570,250,10,19,45,False,0511,001XX E 101ST ST,JC326260,49,STRONGARM - NO WEAPON,005,False,03,11739331,0320,41.710872932,"{'latitude': '41.710872932', 'longitude': '-87.619281817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.619281817,ROBBERY,2019-07-05T16:13:31.000,9,1179215,1838042,2019,2019-07-05,16:13:31
253,41,22535,24,323,184,7,1,23,False,1431,020XX N CAMPBELL AVE,JC326299,22,ATTEMPT: ARMED-KNIFE/CUT INSTR,014,False,03,11739321,0334,41.918204567,"{'latitude': '41.918204567', 'longitude': '-87.689185651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.689185651,ROBBERY,2019-07-05T16:13:31.000,1,1159562,1913442,2019,2019-07-05,16:13:31
254,15,22248,23,773,271,13,58,60,False,0822,055XX S PULASKI RD,JC326166,62,TO VEHICLE,008,False,14,11739022,1320,41.792974653,"{'latitude': '41.792974653', 'longitude': '-87.723151723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.723151723,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,13,1150642,1867741,2019,2019-07-05,16:13:31
255,25,4449,38,741,28,5,22,57,False,1933,012XX W BELMONT AVE,JC326221,6,SIMPLE,019,False,08B,11739085,0460,41.939821288,"{'latitude': '41.939821288', 'longitude': '-87.660089611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MOVIE HOUSE/THEATER,-87.660089611,BATTERY,2019-07-05T16:13:31.000,32,1167419,1921380,2019,2019-07-05,16:13:31
256,35,21546,9,247,227,20,61,40,False,0624,079XX S INGLESIDE AVE,JC326196,44,ARMED: HANDGUN,006,False,03,11739008,031A,41.7507953,"{'latitude': '41.7507953', 'longitude': '-87.601534808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE PORCH/HALLWAY,-87.601534808,ROBBERY,2019-07-05T16:13:31.000,8,1183937,1852630,2019,2019-07-05,16:13:31
257,48,21194,26,688,157,23,40,58,False,0915,007XX W 31ST ST,JC326155,60,AGGRAVATED OF A SENIOR CITIZEN,009,False,04B,11739044,0495,41.83805532,"{'latitude': '41.83805532', 'longitude': '-87.645513456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.645513456,BATTERY,2019-07-05T16:13:31.000,11,1171682,1884328,2019,2019-07-05,16:13:31
258,12,22535,15,72,168,7,1,23,False,1412,034XX W PARKER AVE,JC326153,22,SIMPLE,014,False,08A,11738941,0560,41.931057327,"{'latitude': '41.931057327', 'longitude': '-87.712888824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.712888824,ASSAULT,2019-07-05T16:13:31.000,35,1153077,1918078,2019,2019-07-05,16:13:31
259,35,21546,9,247,227,20,61,40,True,0624,079XX S COTTAGE GROVE AVE,JC326169,44,AGGRAVATED: HANDGUN,006,False,04A,11739197,051A,41.750739142,"{'latitude': '41.750739142', 'longitude': '-87.605222136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.605222136,ASSAULT,2019-07-05T16:13:31.000,6,1182931,1852601,2019,2019-07-05,16:13:31
260,36,14912,22,367,126,22,29,38,False,0113,002XX S WABASH AVE,JC326177,32,CREDIT CARD FRAUD,001,False,11,11738951,1150,41.879202837,"{'latitude': '41.879202837', 'longitude': '-87.626113652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.626113652,DECEPTIVE PRACTICE,2019-07-05T16:13:31.000,42,1176845,1899365,2019,2019-07-05,16:13:31
261,49,4299,27,286,194,6,5,24,True,2534,040XX W GRAND AVE,JC326189,23,SIMPLE,025,False,08A,11739148,0560,41.90647143,"{'latitude': '41.90647143', 'longitude': '-87.72721154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.72721154,ASSAULT,2019-07-05T16:13:31.000,26,1149243,1909091,2019,2019-07-05,16:13:31
262,45,21572,41,584,66,16,30,24,True,1112,007XX N HARDING AVE,JC326165,23,GAME/DICE,011,False,19,11738953,1661,41.894282641,"{'latitude': '41.894282641', 'longitude': '-87.724829222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.724829222,GAMBLING,2019-07-05T16:13:31.000,37,1149923,1904654,2019,2019-07-05,16:13:31
263,36,4446,22,652,73,14,55,37,False,1831,005XX N KINGSBURY ST,JC326292,8,TO VEHICLE,018,False,14,11739146,1320,41.891834941,"{'latitude': '41.891834941', 'longitude': '-87.640125465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.640125465,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,42,1172992,1903937,2019,2019-07-05,16:13:31
265,48,14924,26,707,106,23,37,59,False,0925,044XX S WALLACE ST,JC327096,61,$500 AND UNDER,009,False,06,11739810,0820,41.813166562,"{'latitude': '41.813166562', 'longitude': '-87.64078363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.64078363,THEFT,2019-07-05T16:13:31.000,11,1173044,1875269,2019,2019-07-05,16:13:31
