crimes,community_area,type
47,"Auburn Gresham","LIQUOR LAW VIOLATION"
3111,"Auburn Gresham","MOTOR VEHICLE THEFT"
7902,"Auburn Gresham",NARCOTICS
2,"Auburn Gresham",NON-CRIMINAL
3,"Auburn Gresham",OBSCENITY
720,"Auburn Gresham","OFFENSE INVOLVING CHILDREN"
1,"Auburn Gresham","OTHER NARCOTIC VIOLATION"
5321,"Auburn Gresham","OTHER OFFENSE"
356,"Auburn Gresham",PROSTITUTION
2,"Auburn Gresham","PUBLIC INDECENCY"
631,"Auburn Gresham","PUBLIC PEACE VIOLATION"
3699,"Auburn Gresham",ROBBERY
203,"Auburn Gresham","SEX OFFENSE"
47,"Auburn Gresham",STALKING
12248,"Auburn Gresham",THEFT
1778,"Auburn Gresham","WEAPONS VIOLATION"
283,Austin,ARSON
11175,Austin,ASSAULT
35047,Austin,BATTERY
7399,Austin,BURGLARY
14,Austin,"CONCEALED CARRY LICENSE VIOLATION"
859,Austin,"CRIM SEXUAL ASSAULT"
15320,Austin,"CRIMINAL DAMAGE"
3305,Austin,"CRIMINAL TRESPASS"
5550,Austin,"DECEPTIVE PRACTICE"
882,Austin,GAMBLING
451,Austin,HOMICIDE
4,Austin,"HUMAN TRAFFICKING"
1106,Austin,"INTERFERENCE WITH PUBLIC OFFICER"
50,Austin,INTIMIDATION
125,Austin,KIDNAPPING
129,Austin,"LIQUOR LAW VIOLATION"
6774,Austin,"MOTOR VEHICLE THEFT"
33331,Austin,NARCOTICS
1,Austin,"NON - CRIMINAL"
2,Austin,NON-CRIMINAL
21,Austin,OBSCENITY
1272,Austin,"OFFENSE INVOLVING CHILDREN"
2,Austin,"OTHER NARCOTIC VIOLATION"
10951,Austin,"OTHER OFFENSE"
2706,Austin,PROSTITUTION
3,Austin,"PUBLIC INDECENCY"
1464,Austin,"PUBLIC PEACE VIOLATION"
8066,Austin,ROBBERY
446,Austin,"SEX OFFENSE"
59,Austin,STALKING
24081,Austin,THEFT
2848,Austin,"WEAPONS VIOLATION"
25,"Avalon Park",ARSON
1174,"Avalon Park",ASSAULT
2804,"Avalon Park",BATTERY
1020,"Avalon Park",BURGLARY
1,"Avalon Park","CONCEALED CARRY LICENSE VIOLATION"
76,"Avalon Park","CRIM SEXUAL ASSAULT"
1573,"Avalon Park","CRIMINAL DAMAGE"
258,"Avalon Park","CRIMINAL TRESPASS"
638,"Avalon Park","DECEPTIVE PRACTICE"
10,"Avalon Park",GAMBLING
33,"Avalon Park",HOMICIDE
41,"Avalon Park","INTERFERENCE WITH PUBLIC OFFICER"
8,"Avalon Park",INTIMIDATION
10,"Avalon Park",KIDNAPPING
5,"Avalon Park","LIQUOR LAW VIOLATION"
674,"Avalon Park","MOTOR VEHICLE THEFT"
668,"Avalon Park",NARCOTICS
3,"Avalon Park",OBSCENITY
112,"Avalon Park","OFFENSE INVOLVING CHILDREN"
966,"Avalon Park","OTHER OFFENSE"
3,"Avalon Park",PROSTITUTION
1,"Avalon Park","PUBLIC INDECENCY"
148,"Avalon Park","PUBLIC PEACE VIOLATION"
761,"Avalon Park",ROBBERY
38,"Avalon Park","SEX OFFENSE"
8,"Avalon Park",STALKING
2933,"Avalon Park",THEFT
267,"Avalon Park","WEAPONS VIOLATION"
67,Avondale,ARSON
1434,Avondale,ASSAULT
3947,Avondale,BATTERY
1993,Avondale,BURGLARY
1,Avondale,"CONCEALED CARRY LICENSE VIOLATION"
123,Avondale,"CRIM SEXUAL ASSAULT"
3127,Avondale,"CRIMINAL DAMAGE"
453,Avondale,"CRIMINAL TRESPASS"
1345,Avondale,"DECEPTIVE PRACTICE"
4,Avondale,GAMBLING
24,Avondale,HOMICIDE
40,Avondale,"INTERFERENCE WITH PUBLIC OFFICER"
12,Avondale,INTIMIDATION
16,Avondale,KIDNAPPING
56,Avondale,"LIQUOR LAW VIOLATION"
2105,Avondale,"MOTOR VEHICLE THEFT"
957,Avondale,NARCOTICS
7,Avondale,OBSCENITY
225,Avondale,"OFFENSE INVOLVING CHILDREN"
1554,Avondale,"OTHER OFFENSE"
28,Avondale,PROSTITUTION
142,Avondale,"PUBLIC PEACE VIOLATION"
932,Avondale,ROBBERY
113,Avondale,"SEX OFFENSE"
17,Avondale,STALKING
6295,Avondale,THEFT
158,Avondale,"WEAPONS VIOLATION"
153,"Belmont Cragin",ARSON
3354,"Belmont Cragin",ASSAULT
9385,"Belmont Cragin",BATTERY
3852,"Belmont Cragin",BURGLARY
6,"Belmont Cragin","CONCEALED CARRY LICENSE VIOLATION"
230,"Belmont Cragin","CRIM SEXUAL ASSAULT"
6266,"Belmont Cragin","CRIMINAL DAMAGE"
953,"Belmont Cragin","CRIMINAL TRESPASS"
2195,"Belmont Cragin","DECEPTIVE PRACTICE"
3,"Belmont Cragin",GAMBLING
64,"Belmont Cragin",HOMICIDE
252,"Belmont Cragin","INTERFERENCE WITH PUBLIC OFFICER"
50,"Belmont Cragin",INTIMIDATION
64,"Belmont Cragin",KIDNAPPING
95,"Belmont Cragin","LIQUOR LAW VIOLATION"
3637,"Belmont Cragin","MOTOR VEHICLE THEFT"
3293,"Belmont Cragin",NARCOTICS
8,"Belmont Cragin",NON-CRIMINAL
4,"Belmont Cragin",OBSCENITY
597,"Belmont Cragin","OFFENSE INVOLVING CHILDREN"
1,"Belmont Cragin","OTHER NARCOTIC VIOLATION"
